全部电厂合计,,,,2022,,,,2021,,,,,,,,2020,,,,,,,,,2019,,,,,,,2018,,,,,,,2017,,,,2016,,,,2015,,,
电厂分类,电厂,所在电网,地理位置,"总售电量
(亿千瓦时)","售电电价
(元/兆瓦时)","年底总装机容量
(兆瓦)","年底权益装机容量
(兆瓦)","总发电量
(亿千瓦时)","总售电量
(亿千瓦时)","平均利用小时
(小时)","售电标准煤耗
(克/千瓦时)","售电电价
(元/兆瓦时)","年底总装机容量
(兆瓦)","年底权益装机容量
(兆瓦)",计算I38中的加权平均售电电价,"总发电量
(亿千瓦时)","总售电量
(亿千瓦时)","平均利用小时
(小时)","售电标准煤耗
(克/千瓦时)","售电电价
(元/兆瓦时)","年底总装机容量
(兆瓦)","年底权益装机容量
(兆瓦)","预测毛利润
(百万元)",计算Q38中的加权平均售电电价,"总发电量
(亿千瓦时)","总售电量
(亿千瓦时)","平均利用小时
(小时)","售电标准煤耗
(克/千瓦时)","售电电价
(元/兆瓦时)","年底总装机容量
(兆瓦)","年底权益装机容量
(兆瓦)","总发电量
(亿千瓦时)","总售电量
(亿千瓦时)","平均利用小时
(小时)","售电标准煤耗
(克/千瓦时)","售电电价
(元/兆瓦时)","年底总装机容量
(兆瓦)","年底权益装机容量
(兆瓦)","总售电量
(亿千瓦时)","售电电价
(元/兆瓦时)","年底总装机容量
(兆瓦)","年底权益装机容量
(兆瓦)","总售电量
(亿千瓦时)","售电电价
(元/兆瓦时)","年底总装机容量
(兆瓦)","年底权益装机容量
(兆瓦)","总售电量
(亿千瓦时)","售电电价
(元/兆瓦时)","年底总装机容量
(兆瓦)","年底权益装机容量
(兆瓦)"
燃煤,准能电力,华北电网,内蒙古,33.6,378.0,660.0,381,36.3,32.9,"5,504.0",347.0,299.0,660.0,381.0,6.3,32.9,29.9,"4,482.0",390.0,219.0,660.0,381.0,654.8,5.1,31.4,28.5,"4,757.0",358.0,230.0,660,381,33,29,"3,392",367,213,960,554,29.6,204.0,960.0,554,32.1,198.0,960.0,554,118.0,235.0,960.0,554
燃煤,国华准格尔,华北电网,内蒙古,,,,,,,,,,,,-,,,,,,,,-,-,,,,,,,,71,65,"5,411",310,236,"1,320",639,50.5,215.0,"1,320.0",639,43.6,207.0,"1,320.0",639,57.8,237.0,"1,320.0",639
燃煤,国华呼电,华北电网,内蒙古,,,,,,,,,,,,-,,,,,,,,-,-,,,,,,,,60,54,"5,019",321,236,"1,200",960,44.5,234.0,"1,200.0",960,41.5,229.0,"1,200.0",960,41.4,244.0,"1,200.0",960
燃煤,神东电力,"西北/华北/
陕西省地方电网",内蒙古,249.7,388.0,"5,014.0","4,528",240.3,222.1,"4,792.0",320.0,323.0,"5,014.0","4,528.0",45.9,223.7,207.0,"3,914.0",324.0,290.0,"5,714.0","5,228.0","6,003.0",47.0,222.4,206.3,"3,825.0",325.0,294.0,"5,814","5,328",335,307,"3,723",337,255,"8,984","8,726",285.0,247.0,"8,284.0","7,634",237.8,251.0,"8,187.0","7,534",207.9,259.0,"8,187.0","7,534"
燃煤,胜利能源,华北电网,内蒙古,49.9,311.0,"1,320.0","1,320",9.4,8.4,712.0,352.0,278.0,"1,320.0","1,320.0",1.5,,-,,,-,-,-,-,-,,-,,,-,-,-,,-,,,-,-,-,,,,,,,,,,,,
燃煤,沧东电力,华北电网,河北,110.7,425.0,"2,520.0","1,285",114.4,108.8,"4,539.0",297.0,323.0,"2,520.0","1,285.0",22.5,114.2,108.7,"4,532.0",298.0,318.0,"2,520.0","1,285.0","3,456.7",27.1,129.0,123.0,"5,120.0",299.0,318.0,"2,520","1,285",132,126,"5,244",300,315,"2,520","1,285",133.6,304.0,"2,520.0","1,285",132.4,297.0,"2,520.0","1,285",118.0,340.0,"2,520.0","1,285"
燃煤,三河电力,华北电网,河北,,,,,,,,,,,,-,,,,,,,,-,-,,,,,,,,68,64,"5,119",291,327,"1,330",512,60.9,328.0,"1,330.0",512,58.9,304.0,"1,300.0",501,60.0,333.0,"1,300.0",501
燃煤,定州电力,华北电网,河北,112.8,421.0,"2,520.0","1,021",117.6,108.8,"4,666.0",304.0,324.0,"2,520.0","1,021.0",22.6,114.2,105.6,"4,533.0",305.0,322.0,"2,520.0","1,021.0","3,400.3",26.6,128.2,118.8,"5,092.0",305.0,315.0,"2,520","1,021",139,129,"5,522",307,320,"2,520","1,021",132.1,306.0,"2,520.0","1,021",127.2,301.0,"2,520.0","1,285",123.1,330.0,"2,520.0","1,021"
燃煤,台山电力,南方电网,广东,269.0,448.0,"5,120.0","4,096",267.1,252.4,"5,218.0",307.0,394.0,"5,120.0","4,096.0",63.7,177.2,166.4,"3,462.0",312.0,369.0,"5,120.0","4,096.0","6,140.2",48.1,173.3,162.4,"3,404.0",313.0,391.0,"5,090","4,072",239,226,"4,694",309,354,"5,090","4,072",186.6,361.0,"5,030.0","4,024",165.9,375.0,"5,000.0","4,000",184.2,409.0,"5,000.0","4,000"
燃煤,惠州热电,南方电网,广东,36.2,431.0,660.0,660,38.0,34.3,"5,760.0",307.0,371.0,660.0,660.0,8.2,39.5,35.8,"5,992.0",311.0,347.0,660.0,660.0,"1,242.3",9.7,37.9,34.1,"5,737.0",315.0,377.0,660,660,34,31,"5,187",324,358,660,660,35.3,372.0,660.0,660,27.7,380.0,660.0,660,27.3,411.0,660.0,660
